Student list,GroupName,QuestionsAnswered
2211011901,a,"3"
2211011681,a,"1"
2111013335,c,"3"
2111011046,d,"3"
2111012211,d,"1,2"
2111022004,c,"1,2"
2211011081,b,"1,2,3"
2211011034,a,"1,2,3"
2211011032,a,"1,2,3"
2211011228,d,"3"
2211080051,a,"2"
2122011059,d,"3"
2111011053,d,"3"
2211331096,d,"2"
2111012005,c,"2"
2211331054,d,"2"
2211011024,c,"1,2"
2111013359,d,"2"
2111014453,d,"2"
2111011034,d,"1,2,3"
2241011094,d,"1"
2211011054,d,"1,3"
2111011059,d,"1"
2111011226,d,"1,2,3"
2211011069,c,"2"
2211011045,c,"2"
2211011041,c,"1,2,3"
2211011012,c,"1,2,3"
2111011090,d,"1"
2211011006,c,"1,2,3"
2111011076,c,"1,2,3"
2111088001,a,"1"
2211012211,d,"3"
2111011900,a,"1"
2111011077,a,"2"
2311011095,b,"1,2"
2111022021,a,"2"
2111011038,c,"1,2,3"
2111011068,a,"2,3"
2111022009,a,"2"
2211011101,c,"1,2,3"
2211011004,b,"1,2,3"
2111011094,a,"2,3"
2311012023,a,"1"
2111011062,a,"2,3"
2211011099,a,"1"
2211011074,b,"2"
2211022046,a,"1"
2111011070,b,"1,2,3"
2111221090,d,"3"
2211011456,a,"1"
2211011029,a,"1,2,3"
2211011070,c,"1,3"
2211011014,b,"2,3"
2211011100,a,"2"
2111011011,a,"1"
2211011033,b,"1,2,3"
2111011243,a,"1"
2211011007,a,"2,3"
2111014405,c,"1"
2011011038,b,"2,3"
2211011104,b,"2,3"
2111012229,a,"1"
1211011066,a,"1"
2211042092,a,"1"
2111011073,a,"2"
2112211033,a,"2"
2211011096,d,"3"
2211011026,c,"1,2"
2211012221,a,"1"
2122011022,a,"1"
2011011051,c,"1,2,3"
2111012004,a,"1"
2111011453,d,"1"
2211011048,c,"2"
2211011043,a,"1"
2111012073,a,"1"
2211011002,b,"1,2,3"
2111013390,d,"2"
2211011011,a,"1"
2211011021,a,"2"
2211044096,d,"1"
2211011035,a,"2"
2111011009,a,"3"
2111011055,a,"3"
2211011046,a,"2"
2211011027,c,"1,2,3"
2211011072,a,"2,3"
2211011082,a,"2,3"
2111011033,a,"3"
2211011062,d,"1"
2111011025,a,"1"
2211411011,d,"1"
2011011022,b,"1,2,3"
2111011024,b,"1,2,3"
2111011088,b,"2,3"
2111011021,a,"3"
2211011017,b,"1,2"
2211011037,c,"2"
2111011045,b,"1"
2111015001,a,"2"
2211011080,b,"1,2,3"
2111011028,b,"2"
2211011050,c,"2"
2211011003,b,"2,3"
2211013308,d,"2"
2211011067,b,"2"
2111011040,b,"2,3"
2211011073,b,"2"
